hsa:440034	DKFZp686K1684; uncharacterized LOC440034
hsa:100287010	uncharacterized LOC100287010
hsa:100506548	uncharacterized LOC100506548
hsa:100288846	uncharacterized LOC100288846
hsa:222029	DKFZp434L192; uncharacterized protein DKFZp434L192
hsa:284581	uncharacterized LOC284581
hsa:100130744	uncharacterized LOC100130744
hsa:389332	uncharacterized LOC389332
hsa:146512	uncharacterized protein FLJ30679
hsa:100128288	uncharacterized LOC100128288
hsa:284648	uncharacterized LOC284648
hsa:200058	uncharacterized protein FLJ23867
hsa:100128573	uncharacterized LOC100128573
hsa:149950	uncharacterized LOC149950
hsa:100289361	uncharacterized LOC100289361
hsa:100506082	uncharacterized LOC100506082
hsa:440173	uncharacterized LOC440173
hsa:646736	uncharacterized LOC646736
hsa:645644	FLJ42627; uncharacterized LOC645644
hsa:728752	uncharacterized LOC728752
hsa:100289230	uncharacterized LOC100289230
hsa:79857	FLJ13224; uncharacterized LOC79857
hsa:644656	uncharacterized LOC644656
hsa:100128361	uncharacterized LOC100128361
hsa:149684	uncharacterized LOC149684
hsa:100192386	FLJ16779; uncharacterized LOC100192386
hsa:286189	uncharacterized LOC286189
hsa:283070	uncharacterized LOC283070
hsa:100288911	uncharacterized LOC100288911
hsa:54553	uncharacterized protein DKFZP434I0714
hsa:100131635	hCG1645011-like
hsa:158960	uncharacterized protein BC009467
hsa:284578	uncharacterized LOC284578
hsa:145474	uncharacterized LOC145474
hsa:642846	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like
hsa:729609	uncharacterized LOC729609
hsa:100190986	uncharacterized LOC100190986
hsa:100131496	uncharacterized LOC100131496
hsa:653160	uncharacterized LOC653160
hsa:100507412	uncharacterized LOC100507412
hsa:401105	FLJ42393, AVPC1948; uncharacterized LOC401105
hsa:150967	PKI55; DKFZp434H1419
hsa:100630918	uncharacterized LOC100630918
hsa:285000	uncharacterized LOC285000
hsa:100129550	uncharacterized LOC100129550
hsa:727896	cysteine and histidine-rich domain (CHORD) containing 1 pseudogene
hsa:102467216	uncharacterized LOC102467216
hsa:100288079	GS1-279B7.1; microtubule-associated protein 1 light chain 3 beta pseudogene
hsa:100130238	uncharacterized LOC100130238
hsa:100128233	uncharacterized LOC100128233
hsa:284365	MGC45922; uncharacterized LOC284365
hsa:728095	CTB-174D11.1; uncharacterized LOC728095
hsa:400999	FLJ42351; uncharacterized LOC400999
hsa:643332	ECRP; ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin) pseudogene
hsa:400761	FLJ27354; uncharacterized LOC400761
hsa:440895	two pore channel 3 pseudogene
hsa:643802	u3 small nucleolar ribonucleoprotein protein MPP10-like; K14559 U3 small nucleolar RNA-associated protein MPP10
hsa:554223	histocompatibility antigen-related
hsa:644554	uncharacterized LOC644554
hsa:153684	uncharacterized LOC153684
hsa:100134868	uncharacterized LOC100134868
hsa:391322	D-dopachrome tautomerase-like; K10028 D-dopachrome decarboxylase [EC:4.1.1.84]
hsa:100288966	POTE ankyrin domain family member D-like; K17299 POTE ankyrin domain family protein
hsa:100132111	uncharacterized LOC100132111
hsa:145845	uncharacterized LOC145845
hsa:646762	uncharacterized LOC646762
hsa:100506403	uncharacterized LOC100506403
hsa:652276	potassium channel tetramerization domain containing 5 pseudogene
hsa:154761	family with sequence similarity 115, member C pseudogene
hsa:100133985	uncharacterized LOC100133985
hsa:100506639	uncharacterized LOC100506639
hsa:494141	solute carrier family 25, member 51 pseudogene
hsa:400043	uncharacterized LOC400043
hsa:389033	placenta-specific 9 pseudogene
hsa:100133669	uncharacterized LOC100133669
hsa:85001	uncharacterized protein MGC16275
hsa:100287728	uncharacterized LOC100287728
hsa:100505984	uncharacterized LOC100505984
hsa:100996385	uncharacterized LOC100996385
hsa:374387	uncharacterized DKFZp779M0652
hsa:150527	TISP43; uncharacterized LOC150527
hsa:100288842	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 pseudogene
hsa:100128164	four and a half LIM domains 1 pseudogene
hsa:643923	uncharacterized LOC643923
hsa:284009	uncharacterized LOC284009
hsa:100506124	uncharacterized LOC100506124
hsa:101929034	uncharacterized LOC101929034
hsa:100506406	uncharacterized LOC100506406
hsa:100506790	uncharacterized LOC100506790
hsa:257396	uncharacterized LOC257396
hsa:100505515	uncharacterized LOC100505515
hsa:101929625	uncharacterized LOC101929625
hsa:100506100	uncharacterized LOC100506100
hsa:100130872	uncharacterized LOC100130872
hsa:728613	programmed cell death 6 pseudogene
hsa:100996249	uncharacterized LOC100996249
hsa:100133920	uncharacterized LOC100133920
hsa:100506747	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein LOC641515 homolog
